sesja;operator;kierunek;A;B;C;D;E;F
1;op1;right;2597,4;2675,65;10265,61;10299,9;0;19044,06
1;op1;left;2515,34;2619,78;9991,22;10128,22;9017,25;18708,76
1;op1;right;2649,13;2601,18;10251;10504,32;9488,78;19043,25
1;op1;left;2553,45;2622,36;9910,74;10153,1;9210,04;18518,76
1;op2;right;2582,92;2677,65;10118,53;10433,14;9388,84;19044,74
1;op2;left;2565,11;2632,09;10036,09;10209,43;9271,59;18829,61
1;op2;right;2616,92;2605,17;10147,27;10411,59;9293,93;19015,82
1;op2;left;2492,07;2642,09;10069,44;10271,89;9278,05;18852,33
1;op3;right;2609,34;2616,82;10118,14;10420,7;9307,17;18892,72
1;op3;left;2542,6;2579,89;10110,07;10221,53;9240,06;18841,58
1;op3;right;2599,46;2612,52;10116,53;10450,47;9329,76;18977,83
1;op3;left;2501,81;2593,06;10035,33;10290,53;9253,9;18804,46
2;op1;right;2496,92;2687,15;16,7;10451,99;9193,64;18802,75
2;op1;left;2535,79;2633,47;18,97;10426,64;9057,27;18908,94
2;op1;right;2492,72;2647,32;12,55;10373,9;9114,68;18779,81
2;op1;left;2543,62;2616,64;14,83;10418,89;9185,63;18921,11
2;op2;right;2564,28;2648,83;17,72;10321,76;8967,81;18902,64
2;op2;left;2583,83;2544,96;14,8;10261;9243,12;18915,19
2;op2;right;2566,38;2635,72;14,5;10336,51;9085,58;18825,06
2;op2;left;2533,65;2691,09;19,63;10481,06; ;18902,44
2;op3;right;2541,33;2657,52;15,47;10348,19;9052,84;18943,51
2;op3;left;2563,33;2636,65;12,61;10254,57;9158,95;18872,63
2;op3;right;2526,39;2668,4;19,67;10458,99;9156,41;18736,83
2;op3;left;2566,59;2677,73;11,86;10446,86;9303,13;18850,09
3;op1;right;2592,96;2604,6;17,64;10160,95;9334,36;18875,14
3;op1;left;2584,96;2576,69;9987,69;16,07;9031,06;18914,88
3;op1;right;2502,38;2630,67;16,61;10200,27;9254,64;18944,4
3;op1;left;2570,2;2632,85;9912,72;18,26;9154,02;18731,63
3;op2;right;2602,5;2670,55;14,38;10264,27;9292,4;18871,58
3;op2;left;2610,48;2659,3;9990,04;15,36;9116,21;18778,59
3;op2;right;2569,84;2650,96;14,74;10387,73;9259,83;18904,44
3;op2;left;2488,18;2671,65;9979,15;18,89;9179,08;18764,03
3;op3;right;2587,43;2582,4;16,57;10253,51;9291,48;19155,15
3;op3;left;2538,69;2603,42;9917,41;10,43;9054,14;18859,28
3;op3;right;2540,7;2646,98;15,34;10231,21;9125,09;18903,16
3;op3;left;2498,3;2587,27;9904,76;15,4;9135,13;18587,75
