Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth ,Belly ,Waist ,Hips ,ArmLength ,ShoulderToWaist ,WaistToKnee ,LegLength,TotalHeight
1,30,22,18,20,18,14,22,22,25,25,22,52
1,28,19,22,17,18,21,25,28,23,25,20,56
2,27,21,18,16,14,10,15,21,18,14,18,53
1,29,20,20,18,11,19,14,24,21,20,21,45
2,28,16,14,18,13,11,30,25,22,32,13,47
2,22,17,19,18,14,16,18,20,24,21,19,60
2,18,25,17,16,17,12,28,23,25,14,18,49
2,26,18,15,19,17,23,27,19,19,19,19,58
1,23,16,16,20,18,22,18,15,26,20,19,40
1,31,15,20,28,18,91,17,16,21,21,19,55
1,29,16,28,17,15,21,30,17,25,18,17,50
1,35,23,21,18,12,18,27,18,17,19,20,49
2,29,21,19,17,17,20,21,20,20,18,22,59
1,30,19,17,18,18,24,28,23,22,17,24,47
2,20,24,21,17,16,18,19,19,27,17,19,51
2,27,19,15,20,11,20,18,19,28,17,18,57
2,24,16,20,16,9,25,22,19,19,25,15,60
1,30,21,18,21,12,19,21,15,20,21,20,59
1,35,20,16,28,18,17,23,16,27,23,9,48
1,29,18,15,18,15,18,24,20,25,17,13,42
1,35,25,18,18,15,19,19,23,19,18,21,49
2,29,80,19,16,17,20,20,24,22,19,20,44
2,27,21,21,16,18,22,30,15,20,25,9,45
1,26,16,22,17,14,24,19,22,18,21,13,54
2,24,15,19,17,15,16,20,18,26,21,21,57
1,20,16,16,18,17,15,21,19,19,21,20,60
1,30,20,17,17,19,18,23,15,17,21,18,57
1,35,17,18,18,10,17,24,20,28,20,21,58
1,31,19,15,20,14,22,21,25,27,23,19,45
1,20,28,14,20,18,19,30,24,25,20,20,51
1,24,29,20,18,17,18,35,20,20,16,30,31
2,27,17,22,16,12,18,30,17,27,11,31,30
1,29,19,20,20,14,18,21,20,28,12,21,33
1,27,24,19,16,15,19,21,17,24,12,28,60
2,18,15,21,16,15,20,21,18,17,12,39,45
2,19,14,22,18,17,13,20,19,18,13,27,47
2,20,19,19,18,18,11,23,20,19,14,28,48
2,24,17,21,19,18,11,24,19,20,18,22,40
1,22,18,16,16,19,12,28,19,21,18,21,48
1,24,20,17,17,19,13,20,19,16,17,20,48
2,25,22,17,17,12,13,28,18,19,17,27,60
1,21,23,17,17,12,18,20,20,18,18,17,55
1,25,22,17,22,10,18,21,23,17,16,18,51
1,22,20,18,22,11,14,23,22,17,18,19,52
2,21,19,20,20,11,14,19,20,17,18,30,53
2,19,19,20,21,13,14,18,21,18,17,20,59
2,17,19,21,20,13,13,19,20,18,18,28,50
1,18,27,16,16,14,15,18,19,19,20,27,50
1,25,26,16,14,19,16,19,19,20,21,21,39
2,30,26,14,15,18,17,20,18,20,17,21,57
2,29,19,19,10,16,20,19,21,17,18,22,44
2,28,20,18,16,18,21,30,21,17,18,23,47
1,30,22,15,16,16,21,19,18,18,17,23,57
1,25,19,21,16,19,23,18,19,26,19,14,58
1,30,18,20,17,14,20,17,19,27,16,18,59
2,18,17,21,18,16,20,17,20,26,17,17,51
2,19,17,18,20,19,15,17,20,17,14,19,59
1,28,20,20,18,19,11,18,17,15,11,20,52
2,17,21,19,14,13,15,16,17,21,22,38,60
1,6,17,9,8,8,10,10,11,8,17,19,25
1,8,19,15,13,9,15,15,21,24,17,31,50
1,24,21,17,11,8,20,9,25,21,18,37,60
2,54,26,18,13,11,23,16,23,27,22,46,72
1,16,16,13,17,13,19,16,17,18,18,37,34
2,24,24,21,15,12,16,17,24,21,19,34,38
1,15,19,15,7,8,13,15,17,20,21,37,51
1,4,18,13,15,12,15,15,16,19,13,26,43
